"id","date","lon","lat","x","y","x.se","y.se","u","v","u.se","v.se","s","s.se","logit_g","logit_g.se","g"
"195967",2019-12-16 19:00:00,-32.4183000000012,-3.85359999999606,-3608.78864838371,-426.434957025476,9.99999999785149e-06,9.99999999758472e-06,-1.24745270921705e-10,4.94932720090768e-10,9.9999999954501e-06,9.99999999522239e-06,0,NA,1.0621038807741,3.84510039377656,0.743092394322913
"195967",2019-12-17 03:00:00,-32.4164421733811,-3.85101381865366,-3608.58183607038,-426.148335648187,0.685487061047209,0.629305399243695,0.000362777027661008,-0.115060867662943,0.2566006063208,0.235837829326739,0.0441392725432043,NA,1.0621038807741,3.73621038170287,0.743092394322913
"195967",2019-12-17 11:00:00,-32.4127047225504,-3.84643575503285,-3608.16578494704,-425.640960050065,0.144406686581518,0.0896020900420116,-0.109140932857219,0.224965775635537,0.154896246071411,0.138272018834207,0.0820619555422161,NA,1.0621038807741,3.62405008167217,0.743092394322913
"195967",2019-12-17 19:00:00,-32.4166678913025,-3.84573437811839,-3608.60696287446,-425.563228405515,1.59953046926542,1.60687821934637,-0.0541359901761808,-0.0236571890813059,0.261819401119663,0.261509515422033,0.0559995160113718,NA,1.0581921439881,3.51766744276392,0.74234491011686
"195967",2019-12-18 03:00:00,-32.4190722224752,-3.84856574407402,-3608.8746117963,-425.877021184071,1.59453985156059,1.58911173215529,-0.0216385145783174,-0.0322509499142314,0.545783998589416,0.546596746575943,0.0516154154227091,NA,1.06578250678356,3.39598059695367,0.743794038189478
"195967",2019-12-18 11:00:00,-32.4172702791909,-3.84888333278132,-3608.67402038746,-425.912218764004,7.50208437566219,7.50624798830525,0.0250739239548173,-0.00439969862968549,0.819157504918708,0.819716044812,0.0254386186840803,NA,1.07487759888227,3.2701978664758,0.745523393096779
"195967",2019-12-18 19:00:00,-32.4127276184747,-3.84751808807448,-3608.16833370968,-425.760912125429,13.5568807191257,13.5675115490643,0.0632108325713572,0.0189133286837729,0.927488991271433,0.928137551052288,0.0659546446475415,NA,1.08822662677067,3.13566230523017,0.748047636796979
"195967",2019-12-19 03:00:00,-32.406060522694,-3.84479759148252,-3607.42615600231,-425.459407060115,19.3061412980124,19.3246754284636,0.0927722112713024,0.0376881320261436,0.959823599728523,0.960646017990302,0.100117561862535,NA,1.10031878114218,2.99805602430606,0.750319830814053
"195967",2019-12-19 11:00:00,-32.3978852742164,-3.8410494210471,-3606.51609150466,-425.044009359831,24.3848745284316,24.4134576452326,0.113758060054653,0.0519247113974267,0.949557907726792,0.950563257315809,0.125038329634625,NA,1.10775573508663,2.86441582607684,0.751710474379103
"195967",2019-12-19 19:00:00,-32.3888181554092,-3.83660115597202,-3605.50674445609,-424.551024816346,28.5331744733179,28.5742176092105,0.126168378921409,0.0616230667976223,0.916968398334843,0.918114357042731,0.140410336142208,NA,1.10805558183446,2.741296687054,0.751766434103008
"195967",2019-12-20 03:00:00,-32.37947544864,-3.83178037998411,-3604.46671909591,-424.016759221427,31.5694514834781,31.6254089968506,0.13000316787157,0.0667831982267302,0.877500038115192,0.878698098560064,0.146156707681462,NA,1.09993233530451,2.63289716827587,0.750247427054583
"195967",2019-12-20 11:00:00,-32.3704734362763,-3.82691468340544,-3603.46461966347,-423.477518366845,33.3751011495027,33.4483066598507,0.125262426905136,0.0674051056847506,0.84395051109288,0.845075457438736,0.1422551018704,NA,1.08337201639457,2.54031992263293,0.747131575575957
"195967",2019-12-20 19:00:00,-32.3624284006855,-3.82233166394329,-3602.56905039809,-422.969608044367,33.88614793216,33.9786686245002,0.111946156022107,0.0634887891716833,0.82611733019038,0.827035132836473,0.128708856717884,NA,1.05956153122594,2.46151350556447,0.7426067444342
"195967",2019-12-21 03:00:00,-32.3559566242351,-3.81835892620765,-3601.8486155391,-422.529334045762,33.0893273484017,33.2028200388869,0.0900543552224841,0.0550342486875284,0.829091513868791,0.829707423437876,0.105554783451226,NA,1.03068425472533,2.39161221068835,0.737048531377484
"195967",2019-12-21 11:00:00,-32.3516743892926,-3.81532407996647,-3601.37191932585,-422.193002162799,31.0215696757764,31.1571280820253,0.0595870245062661,0.0420414842322859,0.85181533542637,0.852119973355984,0.0729427868043171,NA,0.999546316997596,2.3236119267468,0.730969369787827
"195967",2019-12-21 19:00:00,-32.3501979782255,-3.8135547371463,-3601.20756599766,-421.996918187247,27.7728317968781,27.9308164200533,0.0205441638734534,0.0245104958059559,0.887390479472477,0.88747787514354,0.0320006058552778,NA,0.968959471846023,2.24948332353404,0.724912049882809
"195967",2019-12-22 03:00:00,-32.3521436734013,-3.8133785075803,-3601.42415979386,-421.977387910874,23.4932458073402,23.6730889231944,-0.0270742266759541,0.00244128340853817,0.924795272393628,0.924857536201617,0.0271749981090095,NA,0.94079780906774,2.16184701371279,0.719260782957131
"195967",2019-12-22 11:00:00,-32.3581277571874,-3.81512299349695,-3602.09030495379,-422.170717125449,18.4073734646262,18.6073554681393,-0.0832681471419563,-0.0241661529599671,0.950269774982761,0.950598274510981,0.0866915484824559,NA,0.914675526636928,2.05617656049056,0.713955966504733
"195967",2019-12-22 19:00:00,-32.3687665119513,-3.81911578273112,-3603.27460571678,-422.613211622741,12.8430812543591,13.06007900788,-0.148037597524553,-0.05531181329956,0.946923870339706,0.947951858115584,0.158022995148764,NA,0.886238151656172,1.9332148228254,0.708113249524487
